ID_TBED,Birth_Group_TBED,First_Seen_Group_TBED,Final_Group_TBED,Sex,BirthDate,immigration_date,First_date,LastSeenDate,DeathDate,Final_date,TB_death,Final_age,Final_age_years,final_age_accurate,TB_final_status,TB_signs_date,TB_signs_group_TBED,TB_exposure_date,TB_exposed_group_TBED,TB_exposure_type,TB_date_Birthgroup,TB_date_immigrated_group,TB_date_Final_group
ID_1294,NA,NA,NA,U,NA,NA,13/02/2019,13/02/2019,NA,13/02/2019,FALSE,0,0,FALSE,unexposed,NA,NA,NA,NA,none,NA,NA,NA
ID_2929,NA,Group_121,Group_43,U,NA,NA,17/10/2018,22/12/2020,NA,22/12/2020,FALSE,797,2.18,FALSE,exposed_asymptomatic,NA,NA,17/10/2018,Group_121,group_change,NA,26/11/2016,13/12/2016
ID_1729,Group_152,NA,Group_152,F,21/01/1999,NA,21/01/1999,22/11/1999,22/11/1999,22/11/1999,TRUE,305,0.84,TRUE,exposed_signs,22/11/1999,Group_152,16/07/1999,Group_152,ResidentGroup,16/07/1999,NA,16/07/1999
ID_398,NA,Group_152,Group_152,M,NA,30/12/1997,30/12/1997,22/10/1998,28/10/1998,28/10/1998,FALSE,302,0.83,FALSE,unexposed,NA,NA,NA,NA,none,NA,16/07/1999,16/07/1999
ID_1019,NA,Group_152,Group_152,M,NA,30/12/1997,30/12/1997,30/11/1999,30/11/1999,30/11/1999,TRUE,700,1.92,FALSE,exposed_signs,21/10/1999,Group_152,16/07/1999,Group_152,ResidentGroup,NA,16/07/1999,16/07/1999
ID_1968,NA,Group_152,Group_152,M,NA,15/01/1998,15/01/1998,07/07/1999,16/09/1999,16/09/1999,TRUE,609,1.67,FALSE,exposed_asymptomatic,NA,NA,16/07/1999,Group_152,ResidentGroup,NA,16/07/1999,16/07/1999
ID_840,NA,Group_152,Group_152,M,NA,15/01/1998,15/01/1998,27/02/1998,28/02/1998,28/02/1998,FALSE,44,0.12,FALSE,unexposed,NA,NA,NA,NA,none,NA,16/07/1999,16/07/1999
ID_1620,NA,Group_152,Group_152,M,NA,20/10/1998,20/10/1998,31/03/1999,01/04/1999,01/04/1999,FALSE,163,0.45,FALSE,unexposed,NA,NA,NA,NA,none,NA,16/07/1999,16/07/1999
ID_2253,Group_152,NA,Group_152,M,04/11/1998,NA,04/11/1998,22/07/1999,16/09/1999,16/09/1999,TRUE,316,0.87,TRUE,exposed_signs,16/07/1999,Group_152,16/07/1999,Group_152,ResidentGroup,16/07/1999,NA,16/07/1999
ID_1557,Group_152,NA,Group_152,M,04/11/1998,NA,04/11/1998,18/07/1999,16/09/1999,16/09/1999,TRUE,316,0.87,TRUE,exposed_signs,16/07/1999,Group_152,16/07/1999,Group_152,ResidentGroup,16/07/1999,NA,16/07/1999
ID_3207,Group_152,NA,Group_152,M,21/01/1999,NA,21/01/1999,30/11/1999,27/12/1999,27/12/1999,TRUE,340,0.93,TRUE,exposed_asymptomatic,NA,NA,16/07/1999,Group_152,ResidentGroup,16/07/1999,NA,16/07/1999
ID_745,Group_152,NA,Group_152,M,21/01/1999,NA,21/01/1999,31/03/1999,01/04/1999,01/04/1999,FALSE,70,0.19,TRUE,unexposed,NA,NA,NA,NA,none,16/07/1999,NA,16/07/1999
