Group_ID_TBED,FirstSeenDate,FinalDate,First_TB_signs_date,TB_by_immigration,Alive_at_study_end,days_pre_exposure,days_post_exposure,Group_survival,ever_exposed,Lasting_group
Group_23,10/08/2002,20/11/2002,NA,FALSE,FALSE,NA,NA,102,FALSE,FALSE
Group_36,13/01/1994,19/04/1996,NA,FALSE,FALSE,NA,NA,827,FALSE,TRUE
Group_51,09/03/2007,22/11/2012,11/12/2007,FALSE,FALSE,277,1808,2085,TRUE,TRUE
Group_26,02/04/1996,04/07/2007,01/02/2003,FALSE,FALSE,2496,1614,4110,TRUE,TRUE
Group_46,05/10/2004,26/06/2009,20/11/2006,FALSE,FALSE,776,949,1725,TRUE,TRUE
Group_45,20/10/1993,15/05/2016,18/03/2003,FALSE,FALSE,3436,4807,8243,TRUE,TRUE
Group_115,07/03/1996,25/08/2009,17/12/2007,FALSE,FALSE,4302,617,4919,TRUE,TRUE
Group_42,25/08/1997,18/01/2013,18/01/2005,FALSE,FALSE,2703,2922,5625,TRUE,TRUE
Group_15,05/11/2001,14/08/2007,05/03/2006,TRUE,FALSE,1581,527,2108,TRUE,TRUE
Group_96,28/12/1993,12/06/1995,NA,FALSE,FALSE,NA,NA,531,FALSE,TRUE
Group_52,22/07/2001,30/03/2002,NA,FALSE,FALSE,NA,NA,251,FALSE,TRUE
Group_35,11/01/2007,07/11/2007,NA,FALSE,FALSE,NA,NA,300,FALSE,TRUE
Group_147,01/08/1999,15/03/2000,NA,FALSE,FALSE,NA,NA,227,FALSE,TRUE
Group_144,07/12/2004,27/06/2005,07/12/2004,FALSE,FALSE,0,202,202,TRUE,TRUE
Group_80,19/09/2007,30/11/2007,NA,FALSE,FALSE,NA,NA,72,FALSE,FALSE
Group_39,13/10/2000,20/10/2000,NA,FALSE,FALSE,NA,NA,7,FALSE,FALSE
Group_38,20/10/1995,NA,07/09/2003,FALSE,TRUE,2879,6356,9235,TRUE,TRUE
Group_140,09/10/2002,26/02/2010,30/04/2004,FALSE,FALSE,569,2128,2697,TRUE,TRUE
Group_71,06/02/1999,10/11/1999,NA,FALSE,FALSE,NA,NA,277,FALSE,TRUE
Group_112,16/05/2005,03/09/2006,18/01/2006,FALSE,FALSE,247,228,475,TRUE,TRUE
Group_32,01/08/1994,10/06/1999,NA,FALSE,FALSE,NA,NA,1774,FALSE,TRUE
Group_47,08/09/2002,17/11/2002,NA,FALSE,FALSE,NA,NA,70,FALSE,FALSE
Group_10,07/07/2006,23/08/2006,NA,FALSE,FALSE,NA,NA,47,FALSE,FALSE
Group_102,20/10/2000,28/11/2000,NA,FALSE,FALSE,NA,NA,39,FALSE,FALSE
Group_131,08/06/1996,08/06/1996,NA,FALSE,FALSE,NA,NA,0,FALSE,TRUE
Group_145,20/10/1998,13/06/2017,06/03/2009,FALSE,FALSE,3790,3021,6811,TRUE,TRUE
Group_127,03/10/1999,22/10/1999,NA,FALSE,FALSE,NA,NA,19,FALSE,TRUE
Group_107,25/08/2006,16/04/2007,30/08/2006,FALSE,FALSE,5,229,234,TRUE,TRUE
Group_122,28/06/1995,12/12/1997,NA,FALSE,FALSE,NA,NA,898,FALSE,TRUE
Group_84,28/10/2001,20/05/2002,04/04/2002,FALSE,FALSE,158,46,204,TRUE,TRUE
Group_94,07/10/1999,04/05/2002,19/10/1999,FALSE,FALSE,12,928,940,TRUE,TRUE
Group_18,31/10/2007,16/03/2015,15/04/2009,TRUE,FALSE,532,2161,2693,TRUE,TRUE
Group_73,23/09/1995,17/12/2007,13/03/2006,FALSE,FALSE,3824,644,4468,TRUE,TRUE
Group_69,28/04/1998,NA,08/02/2007,FALSE,TRUE,3208,5106,8314,TRUE,TRUE
Group_114,03/12/2006,25/12/2006,NA,FALSE,FALSE,NA,NA,22,FALSE,TRUE
Group_111,18/10/2002,22/10/2003,NA,FALSE,FALSE,NA,NA,369,FALSE,TRUE
Group_152,03/12/1997,30/11/1999,16/07/1999,FALSE,FALSE,590,137,727,TRUE,TRUE
Group_22,09/10/1995,17/11/2007,27/06/1999,FALSE,FALSE,1357,3065,4422,TRUE,TRUE
Group_148,03/11/2001,18/12/2008,22/02/2003,FALSE,FALSE,476,2126,2602,TRUE,TRUE
Group_120,21/07/1994,05/11/1995,NA,FALSE,FALSE,NA,NA,472,FALSE,TRUE
Group_31,18/11/1994,16/11/1995,NA,FALSE,FALSE,NA,NA,363,FALSE,TRUE
Group_14,04/04/1995,04/04/1995,NA,FALSE,FALSE,NA,NA,0,FALSE,FALSE
Group_139,01/07/2008,22/10/2010,NA,FALSE,FALSE,NA,NA,843,FALSE,TRUE
Group_130,27/02/1997,27/02/1997,NA,FALSE,FALSE,NA,NA,0,FALSE,FALSE
Group_97,25/09/2007,28/09/2007,NA,FALSE,FALSE,NA,NA,3,FALSE,TRUE
Group_61,14/07/1994,18/08/1994,NA,FALSE,FALSE,NA,NA,35,FALSE,FALSE
Group_98,12/07/1994,11/12/1997,NA,FALSE,FALSE,NA,NA,1248,FALSE,TRUE
Group_37,20/08/1995,20/08/1995,NA,FALSE,FALSE,NA,NA,0,FALSE,FALSE
Group_1,27/08/1994,30/08/1994,NA,FALSE,FALSE,NA,NA,3,FALSE,TRUE
Group_12,29/09/1998,02/10/1998,NA,FALSE,FALSE,NA,NA,3,FALSE,TRUE
Group_70,14/11/2000,14/11/2000,NA,FALSE,FALSE,NA,NA,0,FALSE,TRUE
Group_99,30/11/1995,30/11/1995,NA,FALSE,FALSE,NA,NA,0,FALSE,FALSE
Group_135,25/12/1995,04/06/2002,NA,FALSE,FALSE,NA,NA,2353,FALSE,TRUE
Group_2,10/12/1996,07/02/1997,NA,FALSE,FALSE,NA,NA,59,FALSE,TRUE
Group_16,11/07/2005,16/07/2005,NA,FALSE,FALSE,NA,NA,5,FALSE,TRUE
Group_88,28/04/2003,29/04/2003,NA,FALSE,FALSE,NA,NA,1,FALSE,TRUE
Group_109,21/06/2004,25/02/2005,NA,FALSE,FALSE,NA,NA,249,FALSE,TRUE
Group_5,27/07/2005,27/07/2005,NA,FALSE,FALSE,NA,NA,0,FALSE,TRUE
Group_28,12/12/2007,14/10/2018,06/04/2011,FALSE,FALSE,1211,2748,3959,TRUE,TRUE
Group_143,19/11/2007,08/10/2009,NA,FALSE,FALSE,NA,NA,689,FALSE,TRUE
Group_106,09/08/2008,30/07/2009,12/08/2008,FALSE,FALSE,3,352,355,TRUE,TRUE
Group_150,11/05/2008,NA,25/05/2008,TRUE,TRUE,14,4634,4648,TRUE,TRUE
Group_110,01/11/1997,01/04/1998,NA,FALSE,FALSE,NA,NA,151,FALSE,FALSE
Group_89,18/01/2010,21/05/2010,17/03/2010,FALSE,FALSE,58,65,123,TRUE,FALSE
Group_50,01/04/1997,31/01/1998,NA,FALSE,FALSE,NA,NA,305,FALSE,TRUE
Group_27,01/08/1996,31/05/1997,NA,FALSE,FALSE,NA,NA,303,FALSE,TRUE
Group_104,04/06/2009,24/10/2013,10/09/2009,FALSE,FALSE,98,1505,1603,TRUE,TRUE
Group_118,12/12/2007,23/10/2008,NA,FALSE,FALSE,NA,NA,316,FALSE,TRUE
